Grid Size ,64
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,0,-0.462393760681,-0.402979850769,0,-12.2534213066,-12.6938529015,0
0,1,5,1,-0.462393760681,-0.402978897095,0,-12.2534213066,-12.2908735275,0
0,1,4,1,-0.462392807007,-0.402978897095,0,-12.7158145905,-12.2908735275,0
0,0,5,0,-0.462393760681,-0.402979850769,0,-12.2534213066,-12.6938529015,0
0,1,4,1,-0.462392807007,-0.402978897095,0,-12.7158145905,-12.2908735275,0
0,1,4,0,-0.462392807007,-0.402979850769,0,-12.7158145905,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,0,-0.462392807007,-0.402979850769,0,-11.7910280228,-12.6938529015,0
0,1,6,1,-0.462392807007,-0.402978897095,0,-11.7910280228,-12.2908735275,0
0,1,5,1,-0.462393760681,-0.402978897095,0,-12.2534213066,-12.2908735275,0
0,0,6,0,-0.462392807007,-0.402979850769,0,-11.7910280228,-12.6938529015,0
0,1,5,1,-0.462393760681,-0.402978897095,0,-12.2534213066,-12.2908735275,0
0,1,5,0,-0.462393760681,-0.402979850769,0,-12.2534213066,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,0,-0.462393760681,-0.402979850769,0,-11.3286347389,-12.6938529015,0
0,1,7,1,-0.462393760681,-0.402978897095,0,-11.3286347389,-12.2908735275,0
0,1,6,1,-0.462392807007,-0.402978897095,0,-11.7910280228,-12.2908735275,0
0,0,7,0,-0.462393760681,-0.402979850769,0,-11.3286347389,-12.6938529015,0
0,1,6,1,-0.462392807007,-0.402978897095,0,-11.7910280228,-12.2908735275,0
0,1,6,0,-0.462392807007,-0.402979850769,0,-11.7910280228,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,8,0,-0.462392807007,-0.402979850769,0,-10.8662414551,-12.6938529015,0
0,1,8,1,-0.462392807007,-0.402978897095,0,-10.8662414551,-12.2908735275,0
0,1,7,1,-0.462393760681,-0.402978897095,0,-11.3286347389,-12.2908735275,0
0,0,8,0,-0.462392807007,-0.402979850769,0,-10.8662414551,-12.6938529015,0
0,1,7,1,-0.462393760681,-0.402978897095,0,-11.3286347389,-12.2908735275,0
0,1,7,0,-0.462393760681,-0.402979850769,0,-11.3286347389,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,9,0,-0.462393760681,-0.402979850769,0,-10.4038481712,-12.6938529015,0
0,1,9,1,-0.462393760681,-0.402978897095,0,-10.4038481712,-12.2908735275,0
0,1,8,1,-0.462392807007,-0.402978897095,0,-10.8662414551,-12.2908735275,0
0,0,9,0,-0.462393760681,-0.402979850769,0,-10.4038481712,-12.6938529015,0
0,1,8,1,-0.462392807007,-0.402978897095,0,-10.8662414551,-12.2908735275,0
0,1,8,0,-0.462392807007,-0.402979850769,0,-10.8662414551,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,10,0,-0.462392807007,-0.402979850769,0,-9.94145488739,-12.6938529015,0
0,1,10,1,-0.462392807007,-0.402978897095,0,-9.94145488739,-12.2908735275,0
0,1,9,1,-0.462393760681,-0.402978897095,0,-10.4038481712,-12.2908735275,0
0,0,10,0,-0.462392807007,-0.402979850769,0,-9.94145488739,-12.6938529015,0
0,1,9,1,-0.462393760681,-0.402978897095,0,-10.4038481712,-12.2908735275,0
0,1,9,0,-0.462393760681,-0.402979850769,0,-10.4038481712,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,11,0,-0.462393760681,-0.402979850769,0,-9.47906160355,-12.6938529015,0
0,1,11,1,-0.462393760681,-0.402978897095,0,-9.47906160355,-12.2908735275,0
0,1,10,1,-0.462392807007,-0.402978897095,0,-9.94145488739,-12.2908735275,0
0,0,11,0,-0.462393760681,-0.402979850769,0,-9.47906160355,-12.6938529015,0
0,1,10,1,-0.462392807007,-0.402978897095,0,-9.94145488739,-12.2908735275,0
0,1,10,0,-0.462392807007,-0.402979850769,0,-9.94145488739,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,12,0,-0.462392807007,-0.402979850769,0,-9.0166683197,-12.6938529015,0
0,1,12,1,-0.462392807007,-0.402978897095,0,-9.0166683197,-12.2908735275,0
0,1,11,1,-0.462393760681,-0.402978897095,0,-9.47906160355,-12.2908735275,0
0,0,12,0,-0.462392807007,-0.402979850769,0,-9.0166683197,-12.6938529015,0
0,1,11,1,-0.462393760681,-0.402978897095,0,-9.47906160355,-12.2908735275,0
0,1,11,0,-0.462393760681,-0.402979850769,0,-9.47906160355,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,0,-0.462393760681,-0.402979850769,0,-8.55427503586,-12.6938529015,0
0,1,13,1,-0.462393760681,-0.402978897095,0,-8.55427503586,-12.2908735275,0
0,1,12,1,-0.462392807007,-0.402978897095,0,-9.0166683197,-12.2908735275,0
0,0,13,0,-0.462393760681,-0.402979850769,0,-8.55427503586,-12.6938529015,0
0,1,12,1,-0.462392807007,-0.402978897095,0,-9.0166683197,-12.2908735275,0
0,1,12,0,-0.462392807007,-0.402979850769,0,-9.0166683197,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,14,0,-0.462392807007,-0.402979850769,0,-8.09188175201,-12.6938529015,0
0,1,14,1,-0.462392807007,-0.402978897095,0,-8.09188175201,-12.2908735275,0
0,1,13,1,-0.462393760681,-0.402978897095,0,-8.55427503586,-12.2908735275,0
0,0,14,0,-0.462392807007,-0.402979850769,0,-8.09188175201,-12.6938529015,0
0,1,13,1,-0.462393760681,-0.402978897095,0,-8.55427503586,-12.2908735275,0
0,1,13,0,-0.462393760681,-0.402979850769,0,-8.55427503586,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,15,0,-0.462393283844,-0.402979850769,0,-7.62948870659,-12.6938529015,0
0,1,15,1,-0.462393283844,-0.402978897095,0,-7.62948870659,-12.2908735275,0
0,1,14,1,-0.462392807007,-0.402978897095,0,-8.09188175201,-12.2908735275,0
0,0,15,0,-0.462393283844,-0.402979850769,0,-7.62948870659,-12.6938529015,0
0,1,14,1,-0.462392807007,-0.402978897095,0,-8.09188175201,-12.2908735275,0
0,1,14,0,-0.462392807007,-0.402979850769,0,-8.09188175201,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,16,0,-0.462393283844,-0.402979850769,0,-7.16709542274,-12.6938529015,0
0,1,16,1,-0.462393283844,-0.402978897095,0,-7.16709542274,-12.2908735275,0
0,1,15,1,-0.462393283844,-0.402978897095,0,-7.62948870659,-12.2908735275,0
0,0,16,0,-0.462393283844,-0.402979850769,0,-7.16709542274,-12.6938529015,0
0,1,15,1,-0.462393283844,-0.402978897095,0,-7.62948870659,-12.2908735275,0
0,1,15,0,-0.462393283844,-0.402979850769,0,-7.62948870659,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,17,0,-0.462393283844,-0.402979850769,0,-6.7047021389,-12.6938529015,0
0,1,17,1,-0.462393283844,-0.402978897095,0,-6.7047021389,-12.2908735275,0
0,1,16,1,-0.462393283844,-0.402978897095,0,-7.16709542274,-12.2908735275,0
0,0,17,0,-0.462393283844,-0.402979850769,0,-6.7047021389,-12.6938529015,0
0,1,16,1,-0.462393283844,-0.402978897095,0,-7.16709542274,-12.2908735275,0
0,1,16,0,-0.462393283844,-0.402979850769,0,-7.16709542274,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,18,0,-0.462393283844,-0.402979850769,0,-6.24230885506,-12.6938529015,0
0,1,18,1,-0.462393283844,-0.402978897095,0,-6.24230885506,-12.2908735275,0
0,1,17,1,-0.462393283844,-0.402978897095,0,-6.7047021389,-12.2908735275,0
0,0,18,0,-0.462393283844,-0.402979850769,0,-6.24230885506,-12.6938529015,0
0,1,17,1,-0.462393283844,-0.402978897095,0,-6.7047021389,-12.2908735275,0
0,1,17,0,-0.462393283844,-0.402979850769,0,-6.7047021389,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,18,1,-0.462393283844,-0.402978897095,0,-6.24230885506,-12.2908735275,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,24,0,-0.462393283844,-0.402979850769,0,-3.46794939041,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,25,0,-0.462393283844,-0.402979850769,0,-3.00555610657,-12.6938529015,0
0,1,25,1,-0.462393283844,-0.402978897095,0,-3.00555610657,-12.2908735275,0
0,1,24,1,-0.462393283844,-0.402978897095,0,-3.46794939041,-12.2908735275,0
0,0,25,0,-0.462393283844,-0.402979850769,0,-3.00555610657,-12.6938529015,0
0,1,24,1,-0.462393283844,-0.402978897095,0,-3.46794939041,-12.2908735275,0
0,1,24,0,-0.462393283844,-0.402979850769,0,-3.46794939041,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,26,0,-0.462393283844,-0.402979850769,0,-2.54316282272,-12.6938529015,0
0,1,26,1,-0.462393283844,-0.402978897095,0,-2.54316282272,-12.2908735275,0
0,1,25,1,-0.462393283844,-0.402978897095,0,-3.00555610657,-12.2908735275,0
0,0,26,0,-0.462393283844,-0.402979850769,0,-2.54316282272,-12.6938529015,0
0,1,25,1,-0.462393283844,-0.402978897095,0,-3.00555610657,-12.2908735275,0
0,1,25,0,-0.462393283844,-0.402979850769,0,-3.00555610657,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,27,0,-0.462393164635,-0.402979850769,0,-2.08076959848,-12.6938529015,0
0,1,27,1,-0.462393164635,-0.402978897095,0,-2.08076959848,-12.2908735275,0
0,1,26,1,-0.462393283844,-0.402978897095,0,-2.54316282272,-12.2908735275,0
0,0,27,0,-0.462393164635,-0.402979850769,0,-2.08076959848,-12.6938529015,0
0,1,26,1,-0.462393283844,-0.402978897095,0,-2.54316282272,-12.2908735275,0
0,1,26,0,-0.462393283844,-0.402979850769,0,-2.54316282272,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,28,0,-0.462393283844,-0.402979850769,0,-1.61837637424,-12.6938529015,0
0,1,28,1,-0.462393283844,-0.402978897095,0,-1.61837637424,-12.2908735275,0
0,1,27,1,-0.462393164635,-0.402978897095,0,-2.08076959848,-12.2908735275,0
0,0,28,0,-0.462393283844,-0.402979850769,0,-1.61837637424,-12.6938529015,0
0,1,27,1,-0.462393164635,-0.402978897095,0,-2.08076959848,-12.2908735275,0
0,1,27,0,-0.462393164635,-0.402979850769,0,-2.08076959848,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,29,0,-0.462393224239,-0.402979850769,0,-1.1559831202,-12.6938529015,0
0,1,29,1,-0.462393224239,-0.402978897095,0,-1.1559831202,-12.2908735275,0
0,1,28,1,-0.462393283844,-0.402978897095,0,-1.61837637424,-12.2908735275,0
0,0,29,0,-0.462393224239,-0.402979850769,0,-1.1559831202,-12.6938529015,0
0,1,28,1,-0.462393283844,-0.402978897095,0,-1.61837637424,-12.2908735275,0
0,1,28,0,-0.462393283844,-0.402979850769,0,-1.61837637424,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,30,0,-0.462393254042,-0.402979850769,0,-0.693589881063,-12.6938529015,0
0,1,30,1,-0.462393254042,-0.402978897095,0,-0.693589881063,-12.2908735275,0
0,1,29,1,-0.462393224239,-0.402978897095,0,-1.1559831202,-12.2908735275,0
0,0,30,0,-0.462393254042,-0.402979850769,0,-0.693589881063,-12.6938529015,0
0,1,29,1,-0.462393224239,-0.402978897095,0,-1.1559831202,-12.2908735275,0
0,1,29,0,-0.462393224239,-0.402979850769,0,-1.1559831202,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,31,0,-0.462393254042,-0.402979850769,0,-0.231196627021,-12.6938529015,0
0,1,31,1,-0.462393254042,-0.402978897095,0,-0.231196627021,-12.2908735275,0
0,1,30,1,-0.462393254042,-0.402978897095,0,-0.693589881063,-12.2908735275,0
0,0,31,0,-0.462393254042,-0.402979850769,0,-0.231196627021,-12.6938529015,0
0,1,30,1,-0.462393254042,-0.402978897095,0,-0.693589881063,-12.2908735275,0
0,1,30,0,-0.462393254042,-0.402979850769,0,-0.693589881063,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,32,0,-0.462393254042,-0.402979850769,0,0.231196627021,-12.6938529015,0
0,1,32,1,-0.462393254042,-0.402978897095,0,0.231196627021,-12.2908735275,0
0,1,31,1,-0.462393254042,-0.402978897095,0,-0.231196627021,-12.2908735275,0
0,0,32,0,-0.462393254042,-0.402979850769,0,0.231196627021,-12.6938529015,0
0,1,31,1,-0.462393254042,-0.402978897095,0,-0.231196627021,-12.2908735275,0
0,1,31,0,-0.462393254042,-0.402979850769,0,-0.231196627021,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,33,0,-0.462393254042,-0.402979850769,0,0.693589881063,-12.6938529015,0
0,1,33,1,-0.462393254042,-0.402978897095,0,0.693589881063,-12.2908735275,0
0,1,32,1,-0.462393254042,-0.402978897095,0,0.231196627021,-12.2908735275,0
0,0,33,0,-0.462393254042,-0.402979850769,0,0.693589881063,-12.6938529015,0
0,1,32,1,-0.462393254042,-0.402978897095,0,0.231196627021,-12.2908735275,0
0,1,32,0,-0.462393254042,-0.402979850769,0,0.231196627021,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,34,0,-0.462393224239,-0.402979850769,0,1.1559831202,-12.6938529015,0
0,1,34,1,-0.462393224239,-0.402978897095,0,1.1559831202,-12.2908735275,0
0,1,33,1,-0.462393254042,-0.402978897095,0,0.693589881063,-12.2908735275,0
0,0,34,0,-0.462393224239,-0.402979850769,0,1.1559831202,-12.6938529015,0
0,1,33,1,-0.462393254042,-0.402978897095,0,0.693589881063,-12.2908735275,0
0,1,33,0,-0.462393254042,-0.402979850769,0,0.693589881063,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,35,0,-0.462393283844,-0.402979850769,0,1.61837637424,-12.6938529015,0
0,1,35,1,-0.462393283844,-0.402978897095,0,1.61837637424,-12.2908735275,0
0,1,34,1,-0.462393224239,-0.402978897095,0,1.1559831202,-12.2908735275,0
0,0,35,0,-0.462393283844,-0.402979850769,0,1.61837637424,-12.6938529015,0
0,1,34,1,-0.462393224239,-0.402978897095,0,1.1559831202,-12.2908735275,0
0,1,34,0,-0.462393224239,-0.402979850769,0,1.1559831202,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,36,0,-0.462393164635,-0.402979850769,0,2.08076959848,-12.6938529015,0
0,1,36,1,-0.462393164635,-0.402978897095,0,2.08076959848,-12.2908735275,0
0,1,35,1,-0.462393283844,-0.402978897095,0,1.61837637424,-12.2908735275,0
0,0,36,0,-0.462393164635,-0.402979850769,0,2.08076959848,-12.6938529015,0
0,1,35,1,-0.462393283844,-0.402978897095,0,1.61837637424,-12.2908735275,0
0,1,35,0,-0.462393283844,-0.402979850769,0,1.61837637424,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,37,0,-0.462393283844,-0.402979850769,0,2.54316282272,-12.6938529015,0
0,1,37,1,-0.462393283844,-0.402978897095,0,2.54316282272,-12.2908735275,0
0,1,36,1,-0.462393164635,-0.402978897095,0,2.08076959848,-12.2908735275,0
0,0,37,0,-0.462393283844,-0.402979850769,0,2.54316282272,-12.6938529015,0
0,1,36,1,-0.462393164635,-0.402978897095,0,2.08076959848,-12.2908735275,0
0,1,36,0,-0.462393164635,-0.402979850769,0,2.08076959848,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,38,0,-0.462393283844,-0.402979850769,0,3.00555610657,-12.6938529015,0
0,1,38,1,-0.462393283844,-0.402978897095,0,3.00555610657,-12.2908735275,0
0,1,37,1,-0.462393283844,-0.402978897095,0,2.54316282272,-12.2908735275,0
0,0,38,0,-0.462393283844,-0.402979850769,0,3.00555610657,-12.6938529015,0
0,1,37,1,-0.462393283844,-0.402978897095,0,2.54316282272,-12.2908735275,0
0,1,37,0,-0.462393283844,-0.402979850769,0,2.54316282272,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,39,0,-0.462393283844,-0.402979850769,0,3.46794939041,-12.6938529015,0
0,1,39,1,-0.462393283844,-0.402978897095,0,3.46794939041,-12.2908735275,0
0,1,38,1,-0.462393283844,-0.402978897095,0,3.00555610657,-12.2908735275,0
0,0,39,0,-0.462393283844,-0.402979850769,0,3.46794939041,-12.6938529015,0
0,1,38,1,-0.462393283844,-0.402978897095,0,3.00555610657,-12.2908735275,0
0,1,38,0,-0.462393283844,-0.402979850769,0,3.00555610657,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,40,0,-0.462393045425,-0.402979850769,0,3.93034255505,-12.6938529015,0
0,1,40,1,-0.462393045425,-0.402978897095,0,3.93034255505,-12.2908735275,0
0,1,39,1,-0.462393283844,-0.402978897095,0,3.46794939041,-12.2908735275,0
0,0,40,0,-0.462393045425,-0.402979850769,0,3.93034255505,-12.6938529015,0
0,1,39,1,-0.462393283844,-0.402978897095,0,3.46794939041,-12.2908735275,0
0,1,39,0,-0.462393283844,-0.402979850769,0,3.46794939041,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,41,0,-0.462393283844,-0.402979850769,0,4.39273571968,-12.6938529015,0
0,1,41,1,-0.462393283844,-0.402978897095,0,4.39273571968,-12.2908735275,0
0,1,40,1,-0.462393045425,-0.402978897095,0,3.93034255505,-12.2908735275,0
0,0,41,0,-0.462393283844,-0.402979850769,0,4.39273571968,-12.6938529015,0
0,1,40,1,-0.462393045425,-0.402978897095,0,3.93034255505,-12.2908735275,0
0,1,40,0,-0.462393045425,-0.402979850769,0,3.93034255505,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,42,0,-0.462393283844,-0.402979850769,0,4.85512900352,-12.6938529015,0
0,1,42,1,-0.462393283844,-0.402978897095,0,4.85512900352,-12.2908735275,0
0,1,41,1,-0.462393283844,-0.402978897095,0,4.39273571968,-12.2908735275,0
0,0,42,0,-0.462393283844,-0.402979850769,0,4.85512900352,-12.6938529015,0
0,1,41,1,-0.462393283844,-0.402978897095,0,4.39273571968,-12.2908735275,0
0,1,41,0,-0.462393283844,-0.402979850769,0,4.39273571968,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,43,0,-0.462393283844,-0.402979850769,0,5.31752228737,-12.6938529015,0
0,1,43,1,-0.462393283844,-0.402978897095,0,5.31752228737,-12.2908735275,0
0,1,42,1,-0.462393283844,-0.402978897095,0,4.85512900352,-12.2908735275,0
0,0,43,0,-0.462393283844,-0.402979850769,0,5.31752228737,-12.6938529015,0
0,1,42,1,-0.462393283844,-0.402978897095,0,4.85512900352,-12.2908735275,0
0,1,42,0,-0.462393283844,-0.402979850769,0,4.85512900352,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,44,0,-0.462393283844,-0.402979850769,0,5.77991557121,-12.6938529015,0
0,1,44,1,-0.462393283844,-0.402978897095,0,5.77991557121,-12.2908735275,0
0,1,43,1,-0.462393283844,-0.402978897095,0,5.31752228737,-12.2908735275,0
0,0,44,0,-0.462393283844,-0.402979850769,0,5.77991557121,-12.6938529015,0
0,1,43,1,-0.462393283844,-0.402978897095,0,5.31752228737,-12.2908735275,0
0,1,43,0,-0.462393283844,-0.402979850769,0,5.31752228737,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,45,0,-0.462393283844,-0.402979850769,0,6.24230885506,-12.6938529015,0
0,1,45,1,-0.462393283844,-0.402978897095,0,6.24230885506,-12.2908735275,0
0,1,44,1,-0.462393283844,-0.402978897095,0,5.77991557121,-12.2908735275,0
0,0,45,0,-0.462393283844,-0.402979850769,0,6.24230885506,-12.6938529015,0
0,1,44,1,-0.462393283844,-0.402978897095,0,5.77991557121,-12.2908735275,0
0,1,44,0,-0.462393283844,-0.402979850769,0,5.77991557121,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,46,0,-0.462393283844,-0.402979850769,0,6.7047021389,-12.6938529015,0
0,1,46,1,-0.462393283844,-0.402978897095,0,6.7047021389,-12.2908735275,0
0,1,45,1,-0.462393283844,-0.402978897095,0,6.24230885506,-12.2908735275,0
0,0,46,0,-0.462393283844,-0.402979850769,0,6.7047021389,-12.6938529015,0
0,1,45,1,-0.462393283844,-0.402978897095,0,6.24230885506,-12.2908735275,0
0,1,45,0,-0.462393283844,-0.402979850769,0,6.24230885506,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,47,0,-0.462393283844,-0.402979850769,0,7.16709542274,-12.6938529015,0
0,1,47,1,-0.462393283844,-0.402978897095,0,7.16709542274,-12.2908735275,0
0,1,46,1,-0.462393283844,-0.402978897095,0,6.7047021389,-12.2908735275,0
0,0,47,0,-0.462393283844,-0.402979850769,0,7.16709542274,-12.6938529015,0
0,1,46,1,-0.462393283844,-0.402978897095,0,6.7047021389,-12.2908735275,0
0,1,46,0,-0.462393283844,-0.402979850769,0,6.7047021389,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,48,0,-0.462393283844,-0.402979850769,0,7.62948870659,-12.6938529015,0
0,1,48,1,-0.462393283844,-0.402978897095,0,7.62948870659,-12.2908735275,0
0,1,47,1,-0.462393283844,-0.402978897095,0,7.16709542274,-12.2908735275,0
0,0,48,0,-0.462393283844,-0.402979850769,0,7.62948870659,-12.6938529015,0
0,1,47,1,-0.462393283844,-0.402978897095,0,7.16709542274,-12.2908735275,0
